День,Состояние_ID,Состояние
1,1,Ясно
2,3,Пасмурно
3,3,Пасмурно
4,1,Ясно
5,1,Ясно
6,1,Ясно
7,1,Ясно
8,2,Облачно
9,2,Облачно
10,2,Облачно
11,3,Пасмурно
12,3,Пасмурно
13,3,Пасмурно
14,2,Облачно
15,1,Ясно
16,3,Пасмурно
17,1,Ясно
18,1,Ясно
19,3,Пасмурно
20,2,Облачно
21,3,Пасмурно
22,1,Ясно
23,2,Облачно
24,3,Пасмурно
25,1,Ясно
26,2,Облачно
27,3,Пасмурно
28,1,Ясно
29,3,Пасмурно
30,3,Пасмурно
31,1,Ясно
32,3,Пасмурно
33,1,Ясно
34,3,Пасмурно
35,3,Пасмурно
36,2,Облачно
37,1,Ясно
38,3,Пасмурно
39,2,Облачно
40,3,Пасмурно
41,2,Облачно
42,3,Пасмурно
43,3,Пасмурно
44,3,Пасмурно
45,1,Ясно
46,2,Облачно
47,2,Облачно
48,2,Облачно
49,1,Ясно
50,3,Пасмурно
51,2,Облачно
52,2,Облачно
53,3,Пасмурно
54,2,Облачно
55,2,Облачно
56,1,Ясно
57,3,Пасмурно
58,3,Пасмурно
59,2,Облачно
60,3,Пасмурно
61,1,Ясно
62,3,Пасмурно
63,3,Пасмурно
64,1,Ясно
65,2,Облачно
66,3,Пасмурно
67,3,Пасмурно
68,3,Пасмурно
69,3,Пасмурно
70,1,Ясно
71,2,Облачно
72,1,Ясно
73,3,Пасмурно
74,1,Ясно
75,2,Облачно
76,3,Пасмурно
77,2,Облачно
78,2,Облачно
79,2,Облачно
80,3,Пасмурно
81,1,Ясно
82,2,Облачно
83,1,Ясно
84,1,Ясно
85,3,Пасмурно
86,1,Ясно
87,1,Ясно
88,3,Пасмурно
89,2,Облачно
90,3,Пасмурно
91,1,Ясно
92,1,Ясно
93,2,Облачно
94,3,Пасмурно
95,1,Ясно
